0, 3, 5, 7
0, 4, 16, 19
7, 10, 14, 16
0, 5, 19, 24
13, 15, 18, 21
0, 2, 6, 8
3, 5, 21, 23
1, 6, 11, 14
8, 13, 29, 33
20, 23, 25, 27
5, 7, 10, 12
2, 4, 7, 10
10, 12, 14, 18
0, 3, 5, 7
10, 13, 15, 18
3, 6, 9, 11
0, 3, 6, 9
14, 16, 18, 20
23, 25, 31, 36
28, 30, 31, 35
0, 7, 9, 11
11, 13, 31, 34
16, 18, 32, 35
3, 5, 7, 9
0, 3, 12, 14
2, 4, 10, 14
1, 4, 8, 11
4, 7, 11, 13
1, 9, 11, 13
4, 6, 22, 25
0, 2, 4, 7
12, 14, 19, 22
17, 21, 23, 26
6, 9, 12, 14
22, 25, 27, 30
1, 3, 16, 18
1, 3, 10, 13
1, 4, 8, 11
12, 14, 32, 34
0, 2, 6, 8
27, 29, 45, 48
0, 2, 10, 13
28, 30, 33, 36
0, 2, 13, 15
1, 8, 18, 22
6, 8, 9, 12
1, 3, 4, 7
0, 2, 12, 15
1, 3, 14, 17
30, 33, 42, 44
17, 20, 25, 27
8, 14, 20, 22
0, 3, 17, 19
11, 14, 21, 23
20, 23, 27, 30
1, 4, 8, 10
18, 21, 37, 39
3, 6, 13, 16
1, 3, 27, 33
12, 14, 16, 19
7, 9, 24, 26
0, 2, 4, 8
7, 10, 30, 33
0, 2, 8, 10
5, 9, 16, 18
8, 10, 22, 24
23, 27, 32, 34
2, 5, 12, 17
10, 13, 20, 22
23, 26, 28, 32
45, 49, 57, 59
7, 10, 12, 15
7, 9, 26, 28
10, 13, 19, 22
2, 4, 5, 7
9, 12, 17, 21
6, 11, 13, 15
28, 30, 33, 36
0, 3, 25, 27
1, 5, 16, 20
0, 2, 6, 9
11, 13, 20, 23
17, 19, 21, 24
0, 4, 30, 33
9, 11, 17, 21
38, 42, 45, 48
1, 6, 21, 25
4, 7, 26, 29
29, 31, 39, 41
2, 5, 28, 30
17, 19, 28, 30
5, 7, 9, 12
1, 6, 17, 19
5, 9, 13, 17
26, 30, 39, 42
2, 5, 11, 13
8, 11, 17, 20
9, 11, 23, 26
5, 7, 20, 22
41, 44, 48, 51
1, 3, 8, 10
47, 50, 53, 55
5, 9, 10, 12
3, 6, 14, 17
3, 7, 17, 20
8, 10, 21, 23
1, 6, 12, 14
8, 10, 26, 31
7, 9, 24, 26
16, 20, 24, 26
0, 3, 21, 24
0, 2, 21, 24
12, 14, 31, 34
8, 10, 12, 14
0, 2, 4, 6
17, 20, 23, 25
1, 3, 5, 7
11, 13, 18, 20
0, 2, 4, 6
3, 6, 21, 26
11, 15, 23, 25
2, 4, 10, 13
0, 4, 10, 12
0, 2, 16, 18
0, 2, 9, 12
7, 9, 15, 18
17, 20, 42, 44
2, 4, 6, 10
11, 14, 29, 31
6, 10, 13, 15
15, 17, 24, 27
31, 34, 57, 61
0, 3, 16, 18
2, 4, 16, 19
2, 7, 9, 11
0, 2, 4, 7
3, 5, 25, 27
1, 5, 14, 16
1, 3, 4, 7
17, 19, 20, 23
52, 54, 57, 61
13, 17, 25, 28
6, 8, 22, 26
10, 12, 15, 18
11, 14, 20, 24
26, 29, 32, 34
17, 19, 35, 38
8, 10, 25, 27
2, 4, 18, 21
9, 12, 15, 18
21, 23, 24, 27
9, 11, 27, 29
12, 16, 26, 31
6, 9, 24, 29
0, 3, 11, 13
3, 6, 14, 18
0, 3, 23, 25
1, 5, 20, 23
0, 2, 25, 27
5, 11, 18, 20
6, 8, 9, 12
3, 6, 8, 11
9, 15, 18, 20
0, 2, 14, 16
37, 42, 44, 47
0, 3, 16, 19
1, 5, 16, 21
17, 21, 22, 24
0, 3, 21, 23
10, 12, 19, 22
2, 4, 5, 8
29, 32, 35, 37
19, 21, 24, 27
14, 17, 24, 28
1, 3, 22, 24
18, 20, 28, 30
0, 3, 11, 14
6, 8, 19, 22
1, 3, 13, 15
6, 8, 11, 14
2, 5, 11, 13
4, 8, 10, 12
38, 40, 44, 47
6, 10, 11, 13
37, 39, 48, 52
1, 5, 14, 16
0, 6, 27, 31
0, 2, 19, 21
19, 23, 26, 28
7, 9, 11, 14
5, 7, 8, 10
21, 23, 46, 48
12, 14, 21, 24
0, 2, 6, 9
9, 11, 13, 15
50, 52, 60, 64
3, 6, 7, 9
10, 13, 16, 19
30, 32, 33, 36
1, 3, 13, 15
2, 5, 9, 12
3, 6, 11, 14
0, 2, 13, 16
5, 9, 10, 12
8, 10, 16, 19
0, 4, 13, 18
24, 26, 43, 46
16, 18, 28, 31
0, 2, 5, 11
1, 8, 21, 23
5, 7, 14, 17
0, 2, 11, 14
1, 6, 16, 18
18, 21, 23, 26
3, 6, 12, 16
14, 18, 27, 30
0, 2, 14, 17
5, 8, 21, 23
0, 2, 25, 28
2, 5, 24, 27
22, 24, 27, 29
26, 31, 37, 39
0, 2, 6, 10
1, 4, 10, 12
9, 11, 19, 22
9, 11, 23, 26
5, 10, 15, 18
5, 8, 24, 26
0, 4, 12, 14
0, 3, 11, 13
5, 7, 21, 24
26, 28, 29, 32
0, 3, 5, 8
14, 18, 29, 31
8, 10, 13, 15
9, 11, 24, 27
3, 5, 16, 18
26, 28, 37, 40
0, 3, 8, 10
0, 2, 5, 7
11, 16, 18, 20
1, 3, 11, 16
41, 45, 48, 52
38, 40, 51, 54
0, 5, 13, 15
0, 4, 20, 22
9, 11, 16, 18
14, 16, 17, 20
0, 2, 17, 19
3, 5, 6, 9
5, 9, 16, 19
28, 30, 35, 38
5, 7, 18, 20
16, 21, 24, 26
16, 20, 22, 24
3, 7, 14, 17
4, 7, 22, 24
9, 11, 17, 19
18, 21, 22, 26
0, 3, 12, 14
1, 3, 12, 14
11, 14, 27, 30
13, 15, 16, 19
9, 11, 14, 19
0, 2, 13, 16
9, 12, 14, 17
7, 10, 16, 19
11, 13, 17, 20
4, 6, 15, 18
0, 3, 10, 12
0, 2, 7, 9
14, 16, 33, 36
12, 14, 23, 25
6, 9, 31, 33
7, 10, 13, 15
4, 6, 18, 21
14, 17, 24, 27
5, 7, 17, 20
2, 4, 15, 17
2, 5, 6, 8
1, 5, 10, 13
6, 9, 16, 19
3, 6, 7, 10
0, 2, 23, 26
0, 2, 16, 18
0, 3, 8, 11
3, 5, 13, 15
27, 30, 37, 39
3, 6, 17, 20
6, 9, 11, 13
5, 7, 8, 12
4, 6, 8, 11
3, 5, 6, 9
3, 5, 22, 25
4, 6, 8, 11
5, 8, 13, 15
10, 12, 19, 25
11, 14, 23, 25
6, 8, 11, 13
34, 36, 44, 46
7, 12, 24, 28
0, 2, 23, 25
10, 13, 24, 26
23, 25, 29, 32
1, 8, 11, 13
13, 15, 19, 21
0, 3, 5, 12
0, 4, 23, 25
10, 12, 17, 20
0, 3, 7, 9
2, 4, 14, 18
23, 25, 47, 51
5, 7, 22, 26
7, 9, 21, 27
18, 20, 31, 34
11, 13, 25, 29
20, 23, 25, 28
19, 21, 28, 31
1, 6, 21, 23
1, 4, 8, 10
10, 13, 19, 21
1, 3, 24, 26
12, 14, 17, 20
0, 3, 16, 18
3, 5, 6, 9
1, 4, 6, 8
14, 16, 19, 22
23, 25, 35, 37
11, 13, 22, 26
1, 3, 5, 8
14, 17, 25, 28
6, 11, 14, 16
3, 6, 11, 13
1, 8, 21, 24
2, 8, 10, 12
0, 3, 22, 24
5, 8, 15, 20
22, 25, 27, 31
8, 13, 17, 19
4, 7, 15, 18
4, 6, 10, 13
1, 5, 22, 25
1, 4, 13, 15
12, 16, 24, 26
1, 3, 6, 8
0, 3, 8, 10
3, 6, 7, 9
9, 12, 19, 22
8, 10, 14, 16
0, 3, 18, 20
15, 17, 31, 33
5, 7, 18, 20
17, 20, 28, 30
0, 2, 8, 10
15, 17, 18, 21
27, 29, 33, 36
8, 10, 21, 24
3, 5, 8, 10
11, 15, 25, 27
11, 14, 15, 18
8, 10, 15, 19
0, 2, 11, 13
